sex,race,incomeBefore,incomeAfter,binBefore,binAfter
male,white,714880.6861515023,811615.7163816395,45,52
male,white,518679.94119186647,588865.8068376025,29,34
male,white,739913.4005512567,840035.7658026249,47,55
male,white,649856.2588865957,737792.4223141753,39,46
male,white,589401.3566422585,669156.9846190221,34,41
male,white,516792.982187539,586723.5114675532,28,34
male,white,581716.6164258426,660432.3735660508,34,40
male,white,636048.6150788775,722116.3788321882,38,45
male,white,534277.958888339,606574.491030776,30,36
male,white,553867.7068298425,628815.0517526943,31,38
male,white,662091.6295150456,751683.4383818547,40,48
male,white,582969.2718431692,661854.5337161397,34,40
male,white,684681.8248616052,777330.4560374884,42,50
male,white,580677.9943814988,659253.2089992922,34,40
male,white,504110.82149539684,572325.2473448621,27,33
male,white,556421.5568558442,631714.4793894137,32,38
male,white,710558.429706096,806708.5880603965,44,52
male,white,551428.1860464312,626045.423971987,31,37
male,white,589795.3615323665,669604.3048045266,34,41
male,white,582056.1831751673,660817.8892413954,34,40
male,white,728499.5618748917,827077.4483750658,46,54
male,white,581973.2291320321,660723.7101616551,34,40
male,white,627759.6175891339,712705.7446298003,37,44
male,white,608027.5093384486,690303.559924245,36,43
male,white,600244.3262285222,681467.1850467824,35,42
male,white,612896.1577800312,695831.0160008636,36,43
male,white,526698.4317380995,597969.3300898746,29,35
male,white,611013.1025067561,693693.1526004227,36,43
male,white,557212.8914951002,632612.8945271829,32,38
male,white,614653.7030750924,697826.3858735671,36,43
male,white,481157.1875610541,546265.611925875,26,31
male,white,683308.1089783318,775770.8539635956,42,50
male,white,608920.9582451631,691317.907057299,36,43
male,white,647336.1981762613,734931.3562392836,39,46
male,white,642153.8314813708,729047.7307069323,39,46
male,white,648155.8458228855,735861.9155966453,39,46
male,white,656036.3276278548,744808.7552713951,40,47
male,white,613967.0173212006,697046.7803241791,36,43
male,white,507050.1382052972,575662.301602155,28,33
male,white,506306.27330487635,574817.7796340258,28,33
male,white,635626.3828074426,721637.011639734,38,45
male,white,583327.1382313352,662260.8252702784,34,40
male,white,787135.5976874705,893647.8973097011,50,59
male,white,651211.358441473,739330.888966451,39,47
male,white,551469.9609108191,626092.8516576746,31,37
male,white,679643.640933726,771610.5235549068,42,49
male,white,628385.0885621404,713415.8520388637,38,44
male,white,666291.3427962712,756451.4414477776,41,48
male,white,592572.0963538873,672756.7771891182,35,41
male,white,601415.0360702296,682796.3110467693,35,42
male,white,570113.8577809016,647259.5722132648,33,39
male,white,611376.0280059824,694105.1878459592,36,43
male,white,523516.63985943823,594356.989814074,29,35
male,white,563907.9442898814,640213.8972896183,32,39
male,white,610304.7366434394,692888.9332687869,36,43
male,white,629442.440866794,714616.2813760011,38,45
male,white,503125.3883889649,571206.4690478451,27,33
male,white,625749.7208794329,710423.8760753721,37,44
male,white,642679.7956830018,729644.8664535921,39,46
male,white,579696.9782014979,658139.445310977,34,40
male,white,541485.7164627954,614757.5759016096,30,36
male,white,582311.4956519157,661107.7496652836,34,40
male,white,690120.186409343,783504.7167064557,43,50
male,white,603308.7706108247,684946.2987937819,35,42
male,white,481855.8535724978,547058.818857289,26,31
male,white,556795.0130522861,632138.4703074564,32,38
male,white,734019.4378212821,833344.2536718842,46,54
male,white,591106.8990933482,671093.3148138025,34,41
male,white,618541.9312248407,702240.7547834364,37,44
male,white,604405.1486350467,686191.0346676022,36,42
male,white,644387.0384164734,731583.1270067248,39,46
male,white,641910.1000577869,728771.0184418105,39,46
male,white,608327.4655367938,690644.105094256,36,43
male,white,669132.9879575514,759677.6076010285,41,48
male,white,533934.966110416,606185.0857292195,30,36
male,white,640167.3875409729,726792.4884644577,39,46
male,white,500450.98500433145,568170.1752145371,27,33
male,white,583935.1535232164,662951.1149595239,34,40
male,white,555833.206438799,631046.5155536802,32,38
male,white,578880.9854450907,657213.0354101598,33,40
male,white,689174.1091132272,782430.6197035376,43,50
male,white,625638.9687833561,710298.1374122086,37,44
male,white,669005.5646913743,759532.9418862242,41,48
male,white,674366.3590891227,765619.1393032029,41,49
male,white,377183.2156239053,428222.2637790632,17,21
male,white,562394.0052777203,638495.0976077748,32,38
male,white,650879.2028061359,738953.7872498337,39,47
male,white,558537.4123562208,634116.6446891128,32,38
male,white,587677.2195559705,667199.5436312666,34,41
male,white,628755.6571854264,713836.5646479509,38,45
male,white,547510.8833500944,621598.0462546132,31,37
male,white,689713.1576886611,783042.6103534326,43,50
male,white,624751.8766224998,709291.0071965276,37,44
male,white,484746.3900541873,550340.4921249545,26,31
male,white,630870.090350989,716237.1151477102,38,45
male,white,584780.564279813,663910.9235963268,34,40
male,white,584813.097344675,663947.858916102,34,40
male,white,620304.0809947177,704241.3521915852,37,44
male,white,448188.34534445516,508835.5470042058,23,28
male,white,658799.3462728116,747945.6554567601,40,47
male,white,631175.4292222118,716583.7713541335,38,45
male,white,637755.896081661,724054.6828330955,38,45
male,white,575111.0151957715,652932.9266256988,33,40
male,white,617939.3458641511,701556.6297837389,37,44
male,white,544959.879813679,618701.8502840019,31,37
male,white,598960.5881363007,680009.7362283316,35,42
male,white,672963.8329129638,764026.8284333495,41,49
male,white,563530.961392065,639785.9024499172,32,38
male,white,652822.3356673133,741159.857716836,40,47
male,white,672727.922171538,763758.9951163869,41,49
male,white,552749.6136065555,627545.6622587848,31,37
male,white,657466.1556922153,746432.0624207403,40,47
male,white,497047.14617680357,564305.7414118504,27,32
male,white,617392.5799301243,700935.8774906154,37,43
male,white,522062.58170557435,592706.1738484589,29,35
male,white,613476.5780878112,696489.9766540565,36,43
male,white,591319.2023174786,671334.3461308889,35,41
male,white,720279.2099733956,817744.7486299393,45,53
male,white,609971.6271729113,692510.7486475019,36,43
male,white,552503.0813438492,627265.770155272,31,37
male,white,589372.8795543793,669124.6541161463,34,41
male,white,540646.5701205836,613804.8793567504,30,36
male,white,640790.6355950793,727500.0721573955,39,46
male,white,671257.6373454274,762089.7567448025,41,48
male,white,474216.9684314073,538386.267820109,25,30
male,white,597518.1810294443,678372.1478866357,35,42
male,white,579138.8806961479,657505.8280998954,34,40
male,white,589916.6103405217,669741.9605563151,34,41
male,white,578230.9017984123,656474.9848307726,33,40
male,white,582837.7426686587,661705.2064965583,34,40
male,white,607787.9471005917,690031.5810037585,36,43
male,white,617098.6276423483,700602.1486583123,37,43
male,white,466462.3457034714,529582.3180106869,24,29
male,white,588897.1472351594,668584.5474458316,34,41
male,white,649180.4341268318,737025.1474287715,39,46
male,white,583119.4994127587,662025.0895289831,34,40
male,white,589668.9054856194,669460.7371897349,34,41
male,white,506595.28939852485,575145.9043245319,28,33
male,white,609370.4427322212,691828.2141351557,36,43
male,white,561159.3441208546,637093.3666354183,32,38
male,white,579453.6662091468,657863.209232983,34,40
male,white,590678.5621130952,670607.0168457425,34,41
male,white,618203.8438176112,701856.9186293288,37,44
male,white,510027.12028495816,579042.1179687805,28,34
male,white,717353.5015226263,814423.1440514493,45,53
male,white,617979.1941955775,701601.8702450966,37,44
male,white,591231.1083094385,671234.3315650608,35,41
male,white,571303.7905038251,648610.5222641894,33,39
male,white,633472.0123202307,719191.1196465639,38,45
male,white,685854.8925139911,778662.2588984397,42,50
male,white,627216.4206142612,712089.0442342825,37,44
male,white,745889.9620821003,846821.0537007604,47,55
male,white,491580.46780174057,558099.3321864312,26,32
male,white,561274.1775252752,637223.7388745887,32,38
male,white,582704.8255278895,661554.3034962191,34,40
male,white,631729.7985401854,717213.1558932087,38,45
male,white,556609.632191964,631928.0043896209,32,38
male,white,548135.8050660614,622307.5300831909,31,37
male,white,613558.6581832316,696583.1635266854,36,43
male,white,657349.9576627376,746300.1409004593,40,47
male,white,638992.4625903212,725458.5769824573,38,45
male,white,578300.3037509165,656553.7780007255,33,40
male,white,533309.2430150384,605474.6920815111,30,36
male,white,514259.7784153791,583847.5238599562,28,34
male,white,549243.0710926251,623564.6272838615,31,37
male,white,525354.7267629387,596443.7998900146,29,35
male,white,597202.1069373355,678013.3038086435,35,42
male,white,525567.4560983708,596685.3149782199,29,35
male,white,639852.4913113298,726434.9816329562,38,46
male,white,536776.1103270451,609410.6831518281,30,36
male,white,502028.61651266087,569961.2860273249,27,33
male,white,497676.89445034234,565020.704910053,27,32
male,white,627897.8471790098,712862.6789403581,38,44
male,white,676557.6962232604,768107.0001342617,41,49
male,white,608042.3609173356,690320.4211642691,36,43
male,white,698832.7489735886,793396.2312543833,43,51
male,white,562804.7273411232,638961.3970730982,32,38
male,white,647990.5264133813,735674.2257715098,39,46
male,white,682344.2047137003,774676.5177122224,42,49
male,white,547691.5792800694,621803.1932945248,31,37
male,white,545684.9336550918,619525.0157496706,31,37
male,white,645115.7504505025,732410.445678206,39,46
male,white,589876.5240292891,669696.4499125974,34,41
male,white,677217.8198850828,768856.4493067869,42,49
male,white,574838.4868565907,652623.5207520707,33,40
male,white,658956.5935606513,748124.180870359,40,47
male,white,686583.010248008,779488.9028514125,42,50
male,white,587778.7634590109,667314.8280825139,34,41
male,white,597467.4670136856,678314.5714364282,35,42
male,white,634892.8293921478,720804.1964690463,38,45
male,white,548002.3807627715,622156.0512929603,31,37
male,white,584426.1693892085,663508.5732900564,34,40
male,white,617805.3911223792,701404.5487780382,37,44
male,white,494711.14686799154,561653.6432516736,27,32
male,white,567235.4777017802,643991.7003079386,33,39
male,white,617481.5171247042,701036.8493398906,37,43
male,white,555461.1847097488,630624.153209891,32,38
male,white,769120.0379300991,873194.5381383825,49,58
male,white,580841.926139018,659439.3234004701,34,40
male,white,426281.0228784444,483963.80608059274,21,26
male,white,568770.8363137239,645734.8180111792,33,39
male,white,592550.0216105063,672731.7153724959,35,41
male,white,644008.0949233184,731152.9062711209,39,46
male,white,624993.005742744,709564.7650241744,37,44
male,white,574578.2940527465,652328.1196131391,33,39
male,white,594135.7906151444,674532.0648177213,35,41
male,white,613115.8180134966,696080.3998507818,36,43
male,white,519852.0500722531,590196.521189047,29,34
male,white,560868.5411376761,636763.21326005,32,38
male,white,621849.1063380184,705995.444692785,37,44
male,white,630388.6055098432,715690.4775453192,38,45
male,white,519931.44452275854,590286.6590051497,29,34
male,white,602455.6129238756,683977.6949404487,35,42
male,white,677237.8215420019,768879.1575144973,42,49
male,white,543770.2653340606,617351.261539898,31,37
male,white,538038.5649283417,610843.9684754905,30,36
male,white,544041.6477100231,617659.3663827716,31,37
male,white,603148.538604191,684764.3847801982,35,42
male,white,708517.0559062946,804390.9830515834,44,52
male,white,652705.2914599956,741026.9755170359,40,47
male,white,572500.5403424301,649969.2118978653,33,39
male,white,686339.6411896455,779212.6019854438,42,50
male,white,613242.0016268352,696223.6581674763,36,43
male,white,599027.956618965,680086.2207667705,35,42
male,white,555219.0151529227,630349.2141576033,32,38
male,white,640276.8646463943,726916.7796099107,39,46
male,white,505937.6991428366,574399.3313693593,28,33
male,white,595347.204099622,675907.4023280009,35,41
male,white,622344.9699584615,706558.4067581054,37,44
male,white,520690.3101233982,591148.2115131861,29,34
male,white,610847.170414025,693504.767186015,36,43
male,white,495932.71413917723,563040.5085218056,27,32
male,white,552064.3619100312,626767.684818143,31,37
male,white,573720.8065889076,651354.6000934016,33,39
male,white,673818.7827300673,764997.4669213108,41,49
male,white,727500.307233716,825942.9782639602,46,54
male,white,560763.263672181,636643.690034382,32,38
male,white,582634.0878721863,661473.9938806135,34,40
male,white,594450.6163404552,674889.4916045031,35,41
male,white,576950.2076612335,655020.9918641871,33,40
male,white,636100.5017063825,722175.286567659,38,45
male,white,668563.196698436,759030.714280348,41,48
male,white,684529.0916026303,777157.0554745699,42,50
male,white,608131.0346929206,690421.0939496581,36,43
male,white,489115.68944875937,555301.0290745565,26,32
male,white,613637.4898851592,696672.6624451384,36,43
male,white,635826.778917377,721864.5246156408,38,45
male,white,684401.9136199929,777012.6682341733,42,50
male,white,579104.4417522636,657466.7290045448,34,40
male,white,502499.7710501871,570496.1954673314,27,33
male,white,504596.3164159518,572876.4376558875,27,33
male,white,517946.47876066586,588033.0949626425,29,34
male,white,659952.5724271967,749254.9319410361,40,47
male,white,585978.4695248388,665270.924981779,34,41
male,white,577335.7615681475,655458.717510474,33,40
male,white,501868.77130979934,569779.8111583798,27,33
male,white,543282.2221875397,616797.178186323,31,37
male,white,595487.6778075286,676066.8844224035,35,41
male,white,592741.8415928067,672949.4917306588,35,41
male,white,647827.2807301965,735488.890281727,39,46
male,white,731908.4448082362,830947.6088334519,46,54
male,white,627510.888610508,712423.3585588334,37,44
male,white,552207.3113862757,626929.9776927668,31,37
male,white,681212.2786192864,773391.4235338434,42,49
male,white,673722.9198971317,764888.6322817205,41,49
male,white,635469.3985243221,721458.7848196875,38,45
male,white,522481.4141173059,593181.681124675,29,35
male,white,533821.4427011303,606056.2007489166,30,36
male,white,592607.6513384437,672797.1433436678,35,41
male,white,562746.5401454923,638895.3361997511,32,38
male,white,568876.1484594943,645854.3806099301,33,39
male,white,573455.8493463718,651053.7898094241,33,39
male,white,656618.66723954,745469.8949416522,40,47
male,white,530366.2222939994,602133.4325998892,30,35
male,white,536586.4274813178,609195.3331197143,30,36
male,white,545979.2641252535,619859.1739386115,31,37
male,white,567987.0020908754,644844.9182186328,33,39
male,white,643372.4955695227,730431.2999459596,39,46
male,white,643652.0860452888,730748.7235785716,39,46
male,white,656592.3405770923,745440.0058518832,40,47
male,white,617638.837211006,701215.4574027724,37,43
male,white,560467.1767607454,636307.5377289816,32,38
male,white,680998.7506950112,773149.0017946843,42,49
male,white,563298.3800438915,639521.84904748,32,38
male,white,602419.4987910547,683936.6939757442,35,42
male,white,522212.14150575956,592875.9715317936,29,35
male,white,603723.0542550705,685416.6417799938,36,42
male,white,531905.9910271284,603881.557185725,30,36
male,white,606952.9814575185,689083.6308748984,36,42
male,white,666060.9111315539,756189.8286160709,41,48
male,white,592832.5198749386,673052.4402650625,35,41
male,white,664128.5840272132,753996.0261012539,40,48
male,white,521212.65293462214,591741.2358361826,29,35
male,white,708702.253891604,804601.2413484309,44,52
male,white,607444.1785334058,689641.2949359837,36,43
male,white,674685.2229467563,765981.15064755,41,49
male,white,622789.32102217,707062.8857766088,37,44
male,white,587152.0066510456,666603.2608440252,34,41
male,white,493163.7551399033,559896.8641551834,27,32
male,white,534094.0554384987,606365.7024411854,30,36
male,black,261222.05896172582,303319.5361353878,8,11
male,black,234694.85434999887,272517.3158719893,5,8
male,black,244073.84887660496,283407.79074434045,6,9
male,black,309323.36938350694,359172.65674330964,11,16
male,black,246146.0939928703,285813.9903965548,6,10
male,black,260626.67151130797,302628.1984819011,8,11
male,black,245410.599709952,284959.9668672567,6,10
male,black,241281.52385205618,280165.4660549486,6,9
male,black,242669.6595140726,281777.3079750734,6,9
male,black,258246.75576016816,299864.745255377,7,11
male,black,227449.88595333803,264104.77804066974,5,8
male,black,255544.48785944725,296726.99092705554,7,10
male,black,228104.3800442651,264864.7477187758,5,8
male,black,228831.96185625615,265709.583635738,5,8
male,black,251409.6224045648,291925.76749002206,7,10
male,black,276091.8300754517,320585.65866187616,9,12
male,black,228940.41520216584,265835.5148786981,5,8
male,black,201175.69408560297,233596.345018858,3,5
male,black,281669.47127297806,327062.1696712745,9,13
male,black,234877.57791659,272729.48642021837,5,9
male,black,216731.989391054,251659.62916411416,4,7
male,black,214822.10908679024,249441.96037202998,4,7
male,black,231171.87077537522,268426.5826930429,5,8
male,black,260257.80859570598,302199.89112951804,7,11
male,black,258369.1408716382,300006.85345017695,7,11
male,black,256711.6321944329,298082.22746296675,7,11
male,black,231554.66275284035,268871.0638578517,5,8
male,black,275312.89193420444,319681.19003996736,9,12
male,black,253239.50976498553,294050.5520030487,7,10
male,black,174676.27146007377,202826.38397277033,0,3
male,black,271664.8146313089,315445.20353982865,8,12
male,black,221474.78874804924,257166.75864109982,4,7
male,black,195167.22643630838,226619.5773311967,2,5
male,black,208259.66880367885,241821.94408970987,3,6
male,black,229442.80407291072,266418.8666822923,5,8
male,black,233263.6049387251,270855.4121673515,5,8
male,black,229231.35790831354,266173.34471979755,5,8
male,black,227198.58021141856,263812.97289461835,5,8
