t0,dotColor,earnings0,earnings1,earnings2,earnings3,earnings4,earnings2Int,earnings3Int,earnings4Int,earnings4Ind,earnings4IntInd
233.08200265926178,y,-28.456439165166255,-34.87849722532333,-35.38910784137379,-35.85496568936818,-36.0,0,0,-36.0,0,0
358.0709565675923,y,-12.661701745165736,-18.662820740933114,-25.842522201114384,-35.06865031273952,-36.0,0,0,-36.0,1,1
414.5596822441081,y,-27.2973628566035,-35.91927674242276,-34.79376736846838,-33.12882851339257,-36.0,0,0,-36.0,2,2
459.05891204593325,y,-20.390442611758775,-26.89428537389484,-30.44076648059297,-35.150867816258334,-36.0,0,0,-36.0,3,3
700.8310961498156,y,-4.312538747607782,-1.990762720362178,-16.087180104753784,-34.606388865257074,-36.0,0,0,-36.0,4,4
1677.7397738336858,y,-11.771875351610781,-5.479008979736099,-20.77511669101627,-34.74820356598284,-36.0,0,0,-36.0,5,5
1681.4643399185873,y,-28.024501075956813,-27.642977376172425,-30.44475733306424,-36.99136976314012,-36.0,0,0,-36.0,6,6
1698.9680460376076,yI,-19.14748351086985,-20.599609913475646,-23.45261238105531,-33.94690190179953,-36.0,-29.93312829820198,-6.643893170862308,-2.0,7,11
2102.628768503165,y,-24.074080793206395,-28.827377633345826,-30.846588129523983,-33.32353813764037,-36.0,0,0,-36.0,8,7
2279.815544856758,y,-12.059108373032537,-14.463581173793505,-27.328791574985857,-33.2059586116467,-36.0,0,0,-36.0,9,8
2371.938523330512,y,0.6362469498815848,2.9446435946346057,-16.08919622822209,-36.29277583387665,-36.0,0,0,-36.0,10,9
2388.1869260185226,y,-22.59140511606898,-25.599564139714843,-26.957649561466084,-33.33247238832588,-36.0,0,0,-36.0,11,10
2499.778209505751,y,-26.70072325544005,-27.666151843451658,-33.38973322919454,-32.97389489727051,-36.0,0,0,-36.0,12,11
2733.3251877528405,y,-11.621882423858931,-18.470341371886715,-26.205960032988465,-34.22555670335463,-36.0,0,0,-36.0,13,12
2963.475535834651,b,21.33645917559859,27.365403796074336,-8.047423136200575,-40.296614627061786,-36.0,0,0,-36.0,14,13
2974.924898651216,y,-22.532722270370368,-23.608376179389214,-31.0698590686015,-36.19610653839835,-36.0,0,0,-36.0,15,14
3133.3632774393013,b,22.24734842052443,27.010228553198026,-6.326105017877713,-39.830591833054164,-36.0,0,0,-36.0,16,15
3173.7756741341973,b,27.511845677358206,35.426680573992165,-1.6080226852669224,-39.69487011080741,-36.0,0,0,-36.0,17,16
3728.9752051746523,y,-1.1588408926067046,-0.8311562621661679,-18.326429949597717,-34.44963798707654,-36.0,0,0,-36.0,18,17
3781.4620057977413,b,0.052334863303585166,-3.0200267419535605,-18.26650192111849,-35.22808977001741,-36.0,0,0,-36.0,19,18
4007.1855213802905,y,-18.76472207017417,-20.458223890766355,-24.447021616898716,-34.008125335511295,-36.0,0,0,-36.0,20,19
4131.82481031995,b,18.48460979176457,20.25405060355559,-8.988696965558772,-39.459899713271646,-36.0,0,0,-36.0,21,20
4211.795857695809,y,-10.18564022908793,-13.209089499102728,-24.025337466507306,-31.485756682207366,-36.0,0,0,-36.0,22,21
4227.449076027748,b,24.93509573540729,16.57468364502516,-8.924664085905247,-35.28943566123741,-36.0,0,0,-36.0,23,22
351.99522510465033,yI,-23.874613007314125,-24.581451908695698,-27.188993436354302,-34.768080272370796,-38.0,-34.48373203629197,-7.71766551909851,-4.0,0,0
911.8151550031042,y,-14.453423352432804,-11.825093700614222,-25.927543499249378,-38.376828813487315,-38.0,0,0,-38.0,1,0
1047.8152786204291,y,-21.41043772921482,-29.630734270048663,-32.524571394856174,-36.24809538027877,-38.0,0,0,-38.0,2,1
1126.7530049251002,y,-20.58460746800604,-23.603802190388308,-32.725877628017315,-37.404371696944835,-38.0,0,0,-38.0,3,2
1255.4069518830497,y,-1.1788920356279817,-5.6495718016037415,-19.696921269024664,-37.401837203721904,-38.0,0,0,-38.0,4,3
1693.4979461338748,y,-25.722391965585995,-26.019538196132892,-27.180368341824604,-36.539631924598076,-38.0,0,0,-38.0,5,4
1825.310847573324,y,-11.500182737283982,-7.961896142849554,-19.998958199958118,-35.77118017869164,-38.0,0,0,-38.0,6,5
1842.06517856389,y,-14.914783950666607,-12.235133151521387,-26.51371929370723,-33.81858421570831,-38.0,0,0,-38.0,7,6
1843.3266990583409,y,-18.649393640906414,-17.79310837807008,-23.424307962897885,-37.33824547460991,-38.0,0,0,-38.0,8,7
2343.9616743509073,y,-13.12301397946802,-14.452358161889606,-30.611779414769323,-38.41156245438599,-38.0,0,0,-38.0,9,8
2520.401041344553,y,-4.937334230510256,-7.297207416007173,-20.59290055316913,-37.873102434819344,-38.0,0,0,-38.0,10,9
2733.7475690415426,y,-15.276648311890291,-11.668552425092397,-24.41362150363902,-35.691865042707455,-38.0,0,0,-38.0,11,10
2799.1363322166812,b,25.826736606537196,25.162496618236762,-5.180523115997823,-40.829239886872,-38.0,0,0,-38.0,12,11
2807.5380304704117,y,-17.120707668942682,-22.114407084732683,-29.20046998583061,-34.048468521351865,-38.0,0,0,-38.0,13,12
2832.087005764198,y,-7.295321760694826,-9.912999405214011,-24.545558389220076,-33.96179645795917,-38.0,0,0,-38.0,14,13
3221.836679412115,yI,-19.432328251011658,-24.10694903590626,-28.890599296962595,-33.46435541849996,-38.0,-32.59593116592785,-7.0329626600369215,-8.0,15,27
3283.5461813827574,y,-19.512965881043396,-18.332798558582812,-27.391172325909483,-36.71625084741125,-38.0,0,0,-38.0,16,14
3578.8707700285295,y,-9.980895475250293,-13.35561354148167,-23.090293416415854,-37.969438979262605,-38.0,0,0,-38.0,17,15
3804.151199523889,y,-24.046249766303035,-26.442928603219556,-32.06902954019574,-33.449448862524385,-38.0,0,0,-38.0,18,16
3890.2839247156207,b,10.09339489691289,11.643988643415097,-11.770551466838844,-41.59717515511761,-38.0,0,0,-38.0,19,17
378.7818685533146,y,1.4069798272368885,9.010240722488847,10.568005563706118,13.138372442059996,14.0,0,0,14.0,0,0
540.7805971241306,b,15.981789518224751,14.40029589192725,13.142436681914463,14.748455482441436,14.0,0,0,14.0,1,1
875.3351523011801,b,0.9220044778494376,-2.8749633537591475,2.073264350785453,11.096461758369548,14.0,0,0,14.0,2,2
1022.6210753842836,b,21.124002768644935,18.1499528688337,15.087158307901651,13.221474838573176,14.0,0,0,14.0,3,3
