demographic,earnings,order_earnings,change_earnings,earnings_hs,order_earnings_hs,change_earnings_hs,earnings_ba,order_earnings_ba,change_earnings_ba,earnings_aa,order_earnings_aa,change_earnings_aa,earnings_justice,order_earnings_justice,change_earnings_justice,earnings_race,order_earnings_race,change_earnings_race,earnings_comm,order_earnings_comm,change_earnings_comm,earnings_job_quality,order_earnings_job_quality,change_earnings_job_quality,earnings_job_training,order_earnings_job_training,change_earnings_job_training
White men+,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,15,1,0,14,1,-1
White men+,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,1,1,6,1,1
White women+,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,8,1,1,7,1,1
White men+,5,1,0,5,1,0,5,1,0,5,1,0,5,1,0,5,1,0,5,1,1,5,1,1,5,1,1
White women+,5,1,0,5,1,0,5,1,0,5,1,0,5,1,0,5,1,0,5,1,1,5,1,0,5,1,0
White women+,10,1,0,10,1,-1,10,1,-1,10,1,-1,10,1,-1,10,1,-1,11,1,1,10,1,-1,11,1,1
White men+,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,1,5,2,1
White men+,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,1,0
White women+,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0
White men+,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,1,0,11,1,1
White women+,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,8,2,0,8,1,0
White women+,5,3,0,5,3,0,5,3,0,5,3,0,5,3,0,5,3,0,6,1,1,6,1,1,6,1,1
White men+,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0,21,1,0
White men+,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,1,3,1,1
